Niveau confiance,Méthode,VaR (EUR),ES (EUR),VaR (%)
0.9,Historique,7484.0,10282.0,0.7484
0.9,Paramétrique,7260.0,9888.0,0.726
0.9,Monte Carlo,7335.0,9984.0,0.7335
0.95,Historique,9590.0,11966.0,0.959
0.95,Paramétrique,9277.0,11596.0,0.9277
0.95,Monte Carlo,9372.0,11712.0,0.9372
0.975,Historique,11501.0,13429.0,1.1501
0.975,Paramétrique,11026.0,13123.0,1.1026
0.975,Monte Carlo,11198.0,13229.0,1.1198
0.99,Historique,13795.0,15036.0,1.3795
0.99,Paramétrique,13059.0,14940.0,1.3059
0.99,Monte Carlo,13162.0,14993.0,1.3162
0.999,Historique,16060.0,16097.0,1.606
0.999,Paramétrique,17299.0,18836.0,1.7299
0.999,Monte Carlo,17122.0,18225.0,1.7122
